"","stateyear","predicted","hbfunds"
"1","alabama_1947",2973280.08361148,1036300
"2","alabama_1948",2955244.81092435,8793803
"3","alabama_1949",2944640.71467887,3531865
"4","alabama_1950",5953741.18627965,1892272
"5","alabama_1951",3348964.58459507,1864376
"6","alabama_1952",3238355.79317653,2985206
"7","alabama_1953",2882424.5872925,2136402
"8","alabama_1954",2392231.32741697,2843550
"9","alabama_1955",3464542.11794472,2869285
"10","alabama_1956",3929908.41427911,5136650
"11","alabama_1957",4333822.3000028,3278630
"12","alabama_1958",4122396.43343098,4413377
"13","alabama_1959",6154113.29167778,3109905
"14","alabama_1960",6092057.36517975,6647866
"15","alabama_1961",6038758.08300608,5016856
"16","alabama_1962",6762152.34188992,7627804
"17","arizona_1947",395364.750009538,NA
"18","arizona_1948",417624.5786773,177112
"19","arizona_1949",421072.09130714,2455404
"20","arizona_1950",870913.095024969,NA
"21","arizona_1951",491806.074705269,22863
"22","arizona_1952",503886.999712411,834371
"23","arizona_1953",463483.798760539,160300
"24","arizona_1954",401530.4659484,51369
"25","arizona_1955",603358.16181193,865701
"26","arizona_1956",740247.851140496,1060036
"27","arizona_1957",913033.845570842,1170347
"28","arizona_1958",936429.773191426,1380000
"29","arizona_1959",1531238.94577598,1430416
"30","arizona_1960",1600834.53126437,1197072
"31","arizona_1961",1707837.76167317,742597
"32","arizona_1962",1990019.88064291,2131448
"33","arkansas_1947",2024424.92574801,NA
"34","arkansas_1948",1898158.55303288,2937815
"35","arkansas_1949",1897770.88616144,2003319
"36","arkansas_1950",3817169.82405321,9098910
"37","arkansas_1951",2150972.92398525,2764157
"38","arkansas_1952",2000160.58274965,NA
"39","arkansas_1953",1782095.40391762,332000
"40","arkansas_1954",1481452.54746,NA
"41","arkansas_1955",2122980.94108963,1116536
"42","arkansas_1956",2340753.36463073,3004322
"43","arkansas_1957",2603253.43102954,3648179
"44","arkansas_1958",2439852.73137244,1951203
"45","arkansas_1959",3762063.42660983,1962478
"46","arkansas_1960",3750937.9127446,4350455
"47","arkansas_1961",3671676.02177003,5791453
"48","arkansas_1962",4162901.82920698,2645898
"49","california_1947",2421021.49882049,NA
"50","california_1948",2432798.84920137,3271217
"51","california_1949",2436494.6402589,1071750
"52","california_1950",4911099.77604026,7477470
"53","california_1951",2982261.59444614,1314550
"54","california_1952",3087638.9042787,3036441
"55","california_1953",2875108.93756672,2589108
"56","california_1954",2546605.52919478,3548620
"57","california_1955",3827916.76182827,1203584
"58","california_1956",4514460.06078319,7899642
"59","california_1957",5193881.49821294,6204683
"60","california_1958",5094876.35976127,8579126
"61","california_1959",7967841.98466322,9531502
"62","california_1960",8238301.59013475,6106400
"63","california_1961",8439157.18617742,1397843
"64","california_1962",9684881.97444344,10638315
"65","colorado_1947",701367.769435872,NA
"66","colorado_1948",692745.860647577,1414248
"67","colorado_1949",636446.225080263,1008392
"68","colorado_1950",1240796.27674579,270757
"69","colorado_1951",666353.070318946,420795
"70","colorado_1952",666393.19902398,985117
"71","colorado_1953",596172.542979964,221815
"72","colorado_1954",514041.431796667,NA
"73","colorado_1955",784663.859135114,1384026
"74","colorado_1956",995157.654374955,1377486
"75","colorado_1957",1207091.49942859,1337062
"76","colorado_1958",1168753.61782485,257927
"77","colorado_1959",1771836.92219221,2172065
"78","colorado_1960",1749158.43153403,1064214
"79","colorado_1961",1732352.34942242,4427257
"80","colorado_1962",1961838.80695492,2521388
"81","connecticut_1947",480931.328811294,NA
"82","connecticut_1948",486849.849194313,1059560
"83","connecticut_1949",478954.929767446,311786
"84","connecticut_1950",971717.27167085,741478
"85","connecticut_1951",588510.244290737,8e+05
"86","connecticut_1952",596105.842287485,4e+05
"87","connecticut_1953",506688.99173166,440511
"88","connecticut_1954",430514.983560607,NA
"89","connecticut_1955",642896.928810603,7e+05
"90","connecticut_1956",733290.469013945,1887562
"91","connecticut_1957",834988.910270016,630556
"92","connecticut_1958",829347.465589684,1428846
"93","connecticut_1959",1299599.69777185,640195
"94","connecticut_1960",1281884.15600524,1218096
"95","connecticut_1961",1282624.98173372,801658
"96","connecticut_1962",1524472.1358099,1157047
"97","delaware_1947",74740.9784744824,NA
"98","delaware_1948",1e+05,228166
"99","delaware_1949",2e+05,196833
"100","delaware_1950",2e+05,631989
"101","delaware_1951",2e+05,NA
"102","delaware_1952",2e+05,343012
"103","delaware_1953",2e+05,NA
"104","delaware_1954",2e+05,NA
"105","delaware_1955",2e+05,NA
"106","delaware_1956",2e+05,105922
"107","delaware_1957",2e+05,1222165
"108","delaware_1958",2e+05,405828
"109","delaware_1959",227159.519111131,217760
"110","delaware_1960",226244.491370422,656870
"111","delaware_1961",228650.470448278,1277085
"112","delaware_1962",259674.468023586,NA
"113","florida_1947",1431221.75941805,528650
"114","florida_1948",1415673.43115862,4611315
"115","florida_1949",1500669.39438739,175132
"116","florida_1950",3371831.13968325,3889879
"117","florida_1951",2085651.43581911,1680377
"118","florida_1952",2144184.11449662,1652929
"119","florida_1953",2042662.87414033,327673
"120","florida_1954",1883842.9143105,1391525
"121","florida_1955",2931248.77510994,1409261
"122","florida_1956",3490487.24377958,5307232
"123","florida_1957",4078027.84182492,3392761
"124","florida_1958",4025621.20685432,2040420
"125","florida_1959",6259895.43534782,4474303
"126","florida_1960",6333990.22244986,5831994
"127","florida_1961",6455484.00749407,5463015
"128","florida_1962",7461096.05343742,5315201
"129","georgia_1947",2935443.29733372,NA
"130","georgia_1948",2862941.44217878,4120739
"131","georgia_1949",2910539.22025994,5829534
"132","georgia_1950",6015341.45165477,3751533
"133","georgia_1951",3409685.3635549,3412207
"134","georgia_1952",3263115.57932905,1590073
"135","georgia_1953",2863383.07955622,4116067
"136","georgia_1954",2431751.79196227,2467592
"137","georgia_1955",3529864.2938268,1889294
"138","georgia_1956",4053673.7388958,2261036
"139","georgia_1957",4532238.59911321,5405027
"140","georgia_1958",4318067.5878447,5887754
"141","georgia_1959",6618974.01753455,6476495
"142","georgia_1960",6644948.70228417,4231273
"143","georgia_1961",6630940.86619198,3824678
"144","georgia_1962",7474585.17922756,13736726
"145","idaho_1947",306650.299640154,NA
"146","idaho_1948",311692.284097416,672725
"147","idaho_1949",307158.89523687,61834
"148","idaho_1950",619882.218125919,343700
"149","idaho_1951",356584.27992304,740380
"150","idaho_1952",360455.680537834,NA
"151","idaho_1953",338206.147416283,237767
"152","idaho_1954",286255.311453064,488796
"153","idaho_1955",439186.188548472,NA
"154","idaho_1956",513379.707933149,991522
"155","idaho_1957",621831.640186676,644183
"156","idaho_1958",592485.904305885,720041
"157","idaho_1959",915610.10235597,1545671
"158","idaho_1960",905702.179503797,689280
"159","idaho_1961",912433.865079567,1141283
"160","idaho_1962",1047750.53203037,1080130
"161","illinois_1947",2671599.88830287,2427530
"162","illinois_1948",2481967.7951247,2787229
"163","illinois_1949",2316219.83375545,3619582
"164","illinois_1950",4298264.92225455,4837034
"165","illinois_1951",2463564.94612674,2563640
"166","illinois_1952",2466684.0707722,3266870
"167","illinois_1953",2362661.18816826,NA
"168","illinois_1954",2112407.15618659,1408259
"169","illinois_1955",3116008.89590197,3204583
"170","illinois_1956",3544224.77147838,6186450
"171","illinois_1957",3955646.67579294,3808057
"172","illinois_1958",3798274.13786351,6268001
"173","illinois_1959",5764235.94203282,5414206
"174","illinois_1960",5828831.87881031,4563592
"175","illinois_1961",5976723.36917747,3284153
"176","illinois_1962",6990208.3586198,6671113
"177","indiana_1947",1775478.75729406,1381879
"178","indiana_1948",1892473.51239624,3039835
"179","indiana_1949",1924645.27624309,1239206
"180","indiana_1950",3801297.51154237,8565401
"181","indiana_1951",2180656.19024207,2071627
"182","indiana_1952",2092377.23543903,NA
"183","indiana_1953",1883115.06797775,NA
"184","indiana_1954",1606991.01996237,NA
"185","indiana_1955",2281641.30857871,NA
"186","indiana_1956",2671343.22672187,5076241
"187","indiana_1957",3033935.69990797,1713886
"188","indiana_1958",3082050.5619152,5501002
"189","indiana_1959",4772476.47629447,1807494
"190","indiana_1960",4919100.94718773,2645485
"191","indiana_1961",5018308.16535015,3720170
"192","indiana_1962",5625338.91037313,6232010
"193","iowa_1947",1596825.50795837,NA
"194","iowa_1948",1519445.27302778,1946617
"195","iowa_1949",1441277.79233043,2708216
"196","iowa_1950",2387982.31733071,2670641
"197","iowa_1951",1346102.46863046,1570066
"198","iowa_1952",1200841.9409789,1095725
"199","iowa_1953",1214689.16684363,774238
"200","iowa_1954",1032478.08732037,614423
"201","iowa_1955",1652023.84351369,230942
"202","iowa_1956",1852132.40881482,4946138
"203","iowa_1957",2229167.50750744,1864444
"204","iowa_1958",2178510.32145439,3139336
"205","iowa_1959",3450389.28159837,2617039
"206","iowa_1960",3271166.2616209,1764125
"207","iowa_1961",3130034.60610642,3859997
"208","iowa_1962",3552664.9281024,3974837
"209","kansas_1947",1002185.50511026,NA
"210","kansas_1948",1042014.93344286,2076032
"211","kansas_1949",1039086.23661113,895302
"212","kansas_1950",2048568.76682918,2237122
"213","kansas_1951",1146007.57930976,604707
"214","kansas_1952",1118111.34919264,1673781
"215","kansas_1953",998071.221928064,701092
"216","kansas_1954",804327.011659148,NA
"217","kansas_1955",1215872.02991478,2631685
"218","kansas_1956",1347005.7123018,1474995
"219","kansas_1957",1642904.68021035,1698329
"220","kansas_1958",1634408.99886406,2168774
"221","kansas_1959",2629415.75687006,2103504
"222","kansas_1960",2489207.57722489,4395897
"223","kansas_1961",2425869.59050781,2294876
"224","kansas_1962",2677764.54849859,3314249
"225","kentucky_1947",2721023.80605728,1366795
"226","kentucky_1948",2666428.34143003,5390343
"227","kentucky_1949",2628839.60500841,3489311
"228","kentucky_1950",5187927.50570016,6550155
"229","kentucky_1951",2895064.19945601,757134
"230","kentucky_1952",2765218.79641499,5431038
"231","kentucky_1953",2479466.49201817,477498
"232","kentucky_1954",2082251.81436339,1133424
"233","kentucky_1955",2941873.20874896,891449
"234","kentucky_1956",3259983.61657514,2764370
"235","kentucky_1957",3655333.46606958,13758600
"236","kentucky_1958",3529755.98877153,3526161
"237","kentucky_1959",5413223.35293292,1941705
"238","kentucky_1960",5317328.70321529,3226213
"239","kentucky_1961",5234131.55904933,2302421
"240","kentucky_1962",5891398.84072222,3954085
"241","louisiana_1947",2183282.41026154,NA
"242","louisiana_1948",2231082.71311505,1588098
"243","louisiana_1949",2305672.27253073,7045363
"244","louisiana_1950",4656668.1590916,2518863
"245","louisiana_1951",2529564.70658943,1368296
"246","louisiana_1952",2399630.02228178,2922906
"247","louisiana_1953",2165966.90845303,2954972
"248","louisiana_1954",1905970.54290556,1458000
"249","louisiana_1955",2834572.5976671,2222056
"250","louisiana_1956",3253563.86709669,2363709
"251","louisiana_1957",3703480.4955149,2149987
"252","louisiana_1958",3556850.57411059,7528304
"253","louisiana_1959",5370488.53388959,3769361
"254","louisiana_1960",5229774.14853489,1479495
"255","louisiana_1961",5150571.56514545,6417027
"256","louisiana_1962",5968437.09351271,5470520
"257","maine_1947",485478.327984323,NA
"258","maine_1948",522543.216134663,1184618
"259","maine_1949",543469.70547253,167474
"260","maine_1950",1097605.39140459,2051535
"261","maine_1951",638066.816642989,NA
"262","maine_1952",651223.723511692,349661
"263","maine_1953",615171.970003398,263787
"264","maine_1954",541646.19355151,732000
"265","maine_1955",792643.866525094,190000
"266","maine_1956",890632.101289439,1052402
"267","maine_1957",986560.565474098,1175000
"268","maine_1958",920983.562837254,1037054
"269","maine_1959",1394427.25398116,1150121
"270","maine_1960",1381020.65279237,1331742
"271","maine_1961",1387292.93898645,1259027
"272","maine_1962",1531689.10111134,2790470
"273","maryland_1947",830383.718929516,NA
"274","maryland_1948",906317.664415934,645934
"275","maryland_1949",986017.134547224,2589249
"276","maryland_1950",1996591.64468436,123829
"277","maryland_1951",1138690.56462525,1067627
"278","maryland_1952",1064832.82813694,1090004
"279","maryland_1953",954684.893565276,724201
"280","maryland_1954",832381.629187346,929138
"281","maryland_1955",1211757.43873826,1253468
"282","maryland_1956",1410616.30788585,2527069
"283","maryland_1957",1636722.12971302,1193394
"284","maryland_1958",1644126.84337868,995188
"285","maryland_1959",2525037.81584376,4219185
"286","maryland_1960",2585868.6329427,3380696
"287","maryland_1961",2726806.26028719,2436058
"288","maryland_1962",3255981.46855206,1988270
"289","massachusetts_1947",1705576.35393206,NA
"290","massachusetts_1948",1746633.6998405,2096466
"291","massachusetts_1949",1761676.85288208,3209511
"292","massachusetts_1950",3575880.3054722,1995158
"293","massachusetts_1951",2075336.21023336,1486866
"294","massachusetts_1952",1967079.80636242,3006348
"295","massachusetts_1953",1782487.23029856,1660768
"296","massachusetts_1954",1543309.54782516,1e+06
"297","massachusetts_1955",2277316.00190574,814002
"298","massachusetts_1956",2600856.01166441,2622592
"299","massachusetts_1957",2877431.28826788,3397095
"300","massachusetts_1958",2726561.44059599,2016558
"301","massachusetts_1959",4091642.86936886,3809792
"302","massachusetts_1960",4035741.89780513,1820664
"303","massachusetts_1961",4006895.35527577,4954250
"304","massachusetts_1962",4513210.99394785,4602465
"305","michigan_1947",2000095.69571589,NA
"306","michigan_1948",2325047.37095293,3217350
"307","michigan_1949",2455982.94213025,6749776
"308","michigan_1950",4843459.96352637,1481934
"309","michigan_1951",2675188.78205231,1221103
"310","michigan_1952",2548072.12601844,2918850
"311","michigan_1953",2263904.27281739,2163441
"312","michigan_1954",1955649.86399129,1344352
"313","michigan_1955",2729315.43471176,3411149
"314","michigan_1956",3092372.29621324,3703981
"315","michigan_1957",3312246.33312726,3288960
"316","michigan_1958",3431297.1083469,6999179
"317","michigan_1959",5471233.57426603,4420980
"318","michigan_1960",6019109.60975457,2772936
"319","michigan_1961",6330619.80003743,5989056
"320","michigan_1962",7315154.95136699,6370161
"321","minnesota_1947",1821232.98536587,NA
"322","minnesota_1948",1731988.82285564,2016726
"323","minnesota_1949",1612892.19058187,2246066
"324","minnesota_1950",2996430.1369182,5843367
"325","minnesota_1951",1682471.67399276,1289353
"326","minnesota_1952",1634976.15858506,971467
"327","minnesota_1953",1551270.82784674,NA
"328","minnesota_1954",1379084.39768653,1266997
"329","minnesota_1955",2057782.15457025,2225530
"330","minnesota_1956",2346277.20023103,4041817
"331","minnesota_1957",2609864.37317471,1556791
"332","minnesota_1958",2564561.74922903,3673364
"333","minnesota_1959",4023810.5949548,1581353
"334","minnesota_1960",3975282.98387553,5354661
"335","minnesota_1961",3914463.68944296,3427646
"336","minnesota_1962",4355044.36472926,4624857
"337","mississippi_1947",2527787.93634354,1781395
"338","mississippi_1948",2455859.63519763,8443811
"339","mississippi_1949",2439063.92643079,2488052
"340","mississippi_1950",4862984.53778978,465289
"341","mississippi_1951",2691548.52263281,3e+06
"342","mississippi_1952",2569891.43416235,2205959
"343","mississippi_1953",2318158.97499901,638952
"344","mississippi_1954",1932328.34973731,934267
"345","mississippi_1955",2804433.32368383,2590479
"346","mississippi_1956",3202777.73406062,4425464
"347","mississippi_1957",3512546.58397449,1766253
"348","mississippi_1958",3341463.47075325,4547037
"349","mississippi_1959",5208536.86344367,3306290
"350","mississippi_1960",5210576.36481181,3865348
"351","mississippi_1961",5079681.88090096,6301210
"352","mississippi_1962",5671642.75289243,2772317
"353","missouri_1947",2353966.1975243,NA
"354","missouri_1948",2199695.76942807,5389363
"355","missouri_1949",2145204.36982876,758868
"356","missouri_1950",4195872.41715148,3614945
"357","missouri_1951",2375445.96358209,508997
"358","missouri_1952",2225362.54335517,2762075
"359","missouri_1953",2071557.76080659,2419558
"360","missouri_1954",1802044.08470829,1139386
"361","missouri_1955",2645169.93832982,1119272
"362","missouri_1956",2940747.72063726,3482974
"363","missouri_1957",3253432.03571762,4408033
"364","missouri_1958",3106028.11174201,2707051
"365","missouri_1959",4856326.09423677,5145212
"366","missouri_1960",4738392.40621494,5445470
"367","missouri_1961",4582019.21426142,2614901
"368","missouri_1962",5010431.14375554,6726075
"369","montana_1947",261866.356741764,NA
"370","montana_1948",262102.612702511,507723
"371","montana_1949",245348.801204266,106648
"372","montana_1950",441837.618767352,381071
"373","montana_1951",255025.426110648,190132
"374","montana_1952",248444.918081065,431658
"375","montana_1953",238356.771718926,153621
"376","montana_1954",204413.094509184,NA
"377","montana_1955",328868.592238112,269331
"378","montana_1956",411005.107949269,586353
"379","montana_1957",477116.55994434,350277
"380","montana_1958",465460.458999924,1504476
"381","montana_1959",723323.997958871,820828
"382","montana_1960",728438.791838428,39650
"383","montana_1961",762520.870594612,1235409
"384","montana_1962",880536.270472466,1942423
"385","nebraska_1947",725333.332371197,NA
"386","nebraska_1948",702829.714002267,980107
"387","nebraska_1949",690999.468882053,299572
"388","nebraska_1950",1265198.16567681,1414200
